idx,rssi
0,23
1,25
2,30
3,22
4,37
5,32
6,26
7,23
8,32
9,27
10,27
11,22
12,24
13,22
14,28
15,26
16,27
17,30
18,28
19,27
20,30
21,24
22,28
23,38
24,32
25,30
26,32
27,33
28,25
29,29
30,24
31,24
32,27
33,13
34,14
35,12
36,13
37,14
38,11
39,20
40,16
41,16
42,24
43,32
44,25
45,32
46,26
47,28
48,43
49,43
50,36
51,25
52,41
53,18
54,17
55,14
56,39
57,35
58,32
59,14
60,19
61,19
62,20
63,25
64,56
65,41
66,27
67,27
68,38
69,31
70,27
71,30
72,32
73,27
74,22
75,24
76,24
77,26
78,30
79,31
80,36
81,39
82,36
83,25
84,24
85,25
86,24
87,22
88,30
89,37
90,32
91,36
92,31
93,34
94,32
95,41
96,34
97,42
98,26
99,25
100,24
101,36
102,19
103,21
104,20
105,20
106,30
107,27
108,30
109,29
110,35
111,31
112,24
113,25
114,26
115,35
116,38
117,31
118,33
119,33
120,37
121,39
122,31
123,33
124,36
125,33
126,32
127,33
128,38
129,32
130,44
131,32
132,30
133,28
134,30
135,36
136,40
137,38
138,35
139,34
140,35
141,33
142,36
143,34
144,36
145,41
146,46
147,42
148,39
149,33
150,36
151,32
152,31
153,33
154,33
155,35
156,37
157,43
158,38
159,47
160,62
161,40
162,39
163,39
164,44
165,41
166,41
167,39
168,44
169,39
170,49
171,52
172,51
173,40
174,42
175,44
176,46
177,53
178,62
179,42
180,55
181,42
182,38
183,33
184,38
185,37
186,43
187,38
188,34
189,38
190,49
191,46
192,47
193,41
194,29
195,28
196,27
197,34
198,35
199,28
200,26
201,27
202,25
203,26
204,28
205,38
206,45
207,42
208,32
209,36
210,37
211,30
212,30
213,34
214,38
215,47
216,51
217,41
218,41
219,37
220,46
221,33
222,39
223,42
224,35
225,35
226,42
227,44
228,35
229,40
230,44
231,44
232,39
233,39
234,48
235,35
236,38
237,38
238,41
239,36
240,53
241,47
242,47
243,46
244,43
245,38
246,44
247,45
248,44
249,42
250,42
251,47
252,49
253,40
254,42
255,44
256,48
257,42
258,40
259,41
260,49
261,49
262,50
263,46
264,50
265,45
266,49
267,68
268,43
269,55
270,62
271,47
272,52
273,57
274,47
275,44
276,48
277,44
278,40
279,42
280,44
281,55
282,50
283,52
284,49
285,46
286,42
287,42
288,55
289,56
290,42
291,41
292,37
293,48
294,53
295,43
296,41
297,42
298,42
299,42
300,34
301,40
302,42
303,32
304,39
305,34
306,38
307,35
308,44
309,30
310,34
311,34
312,30
313,31
314,28
315,26
316,24
317,25
318,29
319,28
320,47
321,32
322,29
323,27
324,38
325,36
326,31
327,28
328,23
329,26
330,32
331,42
332,31
333,31
334,23
335,25
336,35
337,38
338,37
339,31
340,28
341,32
342,35
343,36
344,41
345,36
346,43
347,32
348,32
349,33
350,43
351,41
352,37
353,37
354,40
355,36
356,38
357,31
358,32
359,35
360,42
361,39
362,38
363,34
364,35
365,39
366,33
367,29
368,27
369,29
370,33
371,47
372,43
373,40
374,41
375,36
376,34
377,39
378,35
379,36
380,41
381,31
382,32
383,32
384,34
385,43
386,33
387,33
388,32
389,39
390,52
391,64
392,32
393,28
394,38
395,27
396,27
397,32
398,32
399,37
400,41
401,43
402,33
403,38
404,38
405,34
406,40
407,41
408,39
409,36
410,39
411,44
412,51
413,37
414,35
415,33
416,37
417,54
418,45
419,46
420,53
421,49
422,59
423,56
424,50
425,45
426,47
427,35
428,37
429,35
430,38
431,36
432,39
433,37
434,46
435,43
436,43
437,47
438,43
439,40
440,41
441,35
442,37
443,42
444,37
445,32
446,51
447,41
448,43
449,36
450,38
451,38
452,37
453,39
454,43
455,44
456,40
457,42
458,44
459,33
460,42
461,41
462,50
463,43
464,38
465,38
466,36
467,32
468,37
469,54
470,39
471,39
472,39
473,44
474,34
475,37
476,36
477,42
478,38
479,47
480,32
481,33
482,29
483,35
484,33
485,38
486,33
487,39
488,30
489,31
490,38
491,33
492,25
493,20
494,17
495,19
496,48
497,35
498,52
499,29
500,29
501,30
502,36
503,26
504,27
505,21
506,28
507,29
508,23
509,25
510,34
511,33
512,36
513,25
514,26
515,29
516,31
517,29
518,39
519,34
520,31
521,32
522,36
523,37
524,28
525,41
526,39
527,39
528,29
529,24
530,37
531,42
532,35
533,33
534,31
535,34
536,33
537,23
538,24
539,29
540,28
541,35
542,33
543,37
544,41
545,38
546,44
547,24
548,28
549,29
550,28
551,36
552,34
553,45
554,25
555,30
556,32
557,28
558,26
559,23
560,25
561,24
562,21
563,20
564,21
565,20
566,33
567,17
568,20
569,23
570,33
571,24
572,29
573,42
574,36
575,38
576,38
577,32
578,37
579,29
580,34
581,22
582,27
583,27
584,29
585,30
586,38
587,39
588,31
589,23
590,26
591,21
592,20
593,22
594,28
595,22
596,28
597,28
598,21
599,27
600,34
601,27
602,33
603,27
604,22
605,33
606,27
607,26
608,32
609,28
610,18
611,17
612,18
613,21
614,17
615,18
616,19
617,19
618,24
619,27
620,27
621,28
622,25
623,30
624,38
625,30
626,30
627,34
628,21
629,25
630,31
631,25
632,31
633,20
634,18
635,17
636,22
637,16
638,12
639,11
640,11
641,12
642,15
643,15
644,14
645,14
646,17
647,33
648,18
649,17
650,17
651,20
652,25
653,34
654,33
655,22
656,24
657,27
658,31
659,37
660,49
661,40
662,29
663,39
664,34
665,30
666,34
667,28
668,26
669,20
670,21
671,24
672,34
673,31
674,23
675,23
676,36
677,19
678,23
679,31
680,31
681,32
682,30
683,41
684,45
685,40
686,28
687,28
688,28
689,30
690,31
691,32
692,36
693,35
694,31
695,31
696,31
697,32
698,37
699,34
700,31
701,31
702,32
703,31
704,30
705,49
706,39
707,41
708,36
709,33
710,36
711,49
712,37
713,34
714,36
715,39
716,40
717,45
718,47
719,47
720,58
721,57
722,41
723,32
724,35
725,29
726,31
727,29
728,26
729,30
730,35
731,35
732,36
733,30
734,31
735,35
736,38
737,29
738,37
739,33
740,40
741,33
742,34
743,30
744,29
745,42
746,51
747,33
748,32
749,34
750,38
751,45
752,42
753,39
754,36
755,35
756,39
757,36
758,40
759,36
760,40
761,39
762,33
763,35
764,36
765,37
766,31
767,31
768,29
769,28
770,38
771,35
772,41
773,37
774,39
775,43
776,37
777,45
778,43
779,53
780,47
781,46
782,44
783,46
784,41
785,55
786,47
787,43
788,67
789,45
790,50
791,44
792,49
793,50
794,50
795,55
796,44
797,45
798,53
799,55
800,51
801,50
802,54
803,58
804,48
805,64
806,56
807,48
808,44
809,49
810,48
811,48
812,51
813,44
814,46
815,43
816,45
817,53
818,43
819,51
820,42
821,50
822,41
823,44
824,45
825,45
826,39
827,47
828,47
829,47
830,44
831,46
832,43
833,47
834,47
835,41
836,41
837,51
838,44
839,48
840,42
841,36
842,35
843,37
844,42
845,40
846,37
847,38
848,39
849,38
850,38
851,39
852,38
853,41
854,41
855,39
856,36
857,37
858,37
859,38
860,40
861,39
862,38
863,39
864,53
865,43
866,38
867,43
868,43
869,36
870,39
871,50
872,43
873,37
874,35
875,30
876,30
877,29
878,25
879,32
880,32
881,31
882,32
883,31
884,32
885,43
886,44
887,32
888,34
889,44
890,46
891,39
892,35
893,38
894,41
895,48
896,39
897,36
898,38
899,37
900,34
901,35
902,33
903,35
904,34
905,34
906,36
907,37
908,39
909,44
910,38
911,42
912,48
913,38
914,34
915,30
916,35
917,46
918,38
919,38
920,41
921,33
922,37
923,34
924,34
925,36
926,30
927,33
928,32
929,33
930,32
931,35
932,36
933,38
934,37
935,32
936,33
