idx,rssi
0,28
1,23
2,25
3,23
4,31
5,35
6,32
7,23
8,26
9,25
10,34
11,22
12,34
13,21
14,25
15,25
16,28
17,28
18,29
19,27
20,30
21,22
22,29
23,43
24,35
25,32
26,28
27,38
28,34
29,33
30,24
31,34
32,31
33,14
34,14
35,15
36,13
37,13
38,11
39,14
40,17
41,16
42,19
43,29
44,27
45,29
46,27
47,31
48,42
49,38
50,32
51,26
52,32
53,21
54,14
55,12
56,25
57,31
58,45
59,14
60,15
61,20
62,20
63,32
64,35
65,38
66,25
67,30
68,34
69,31
70,24
71,30
72,31
73,26
74,27
75,23
76,22
77,23
78,28
79,27
80,44
81,30
82,35
83,24
84,24
85,24
86,26
87,22
88,26
89,38
90,31
91,32
92,32
93,32
94,35
95,35
96,35
97,39
98,31
99,26
100,22
101,26
102,21
103,23
104,23
105,20
106,27
107,25
108,33
109,31
110,29
111,35
112,28
113,24
114,25
115,30
116,38
117,33
118,30
119,32
120,40
121,39
122,30
123,30
124,34
125,42
126,31
127,31
128,36
129,37
130,34
131,33
132,32
133,27
134,29
135,34
136,35
137,40
138,35
139,33
140,32
141,34
142,34
143,34
144,35
145,37
146,38
147,41
148,40
149,36
150,34
151,36
152,30
153,36
154,35
155,33
156,40
157,37
158,35
159,46
160,56
161,42
162,38
163,38
164,46
165,44
166,38
167,41
168,43
169,38
170,45
171,59
172,51
173,40
174,41
175,42
176,50
177,45
178,47
179,41
180,59
181,46
182,40
183,34
184,51
185,36
186,48
187,36
188,33
189,43
190,51
191,42
192,44
193,40
194,35
195,26
196,25
197,36
198,31
199,30
200,26
201,28
202,24
203,24
204,25
205,31
206,40
207,42
208,31
209,40
210,34
211,32
212,27
213,38
214,35
215,43
216,58
217,44
218,40
219,38
220,45
221,33
222,35
223,40
224,38
225,33
226,40
227,42
228,36
229,34
230,42
231,39
232,39
233,38
234,40
235,37
236,33
237,38
238,38
239,34
240,44
241,51
242,44
243,41
244,46
245,39
246,37
247,49
248,42
249,43
250,41
251,45
252,43
253,40
254,43
255,42
256,49
257,43
258,39
259,39
260,46
261,45
262,53
263,47
264,51
265,56
266,46
267,52
268,42
269,46
270,46
271,51
272,50
273,56
274,51
275,45
276,49
277,43
278,40
279,41
280,41
281,49
282,50
283,50
284,49
285,48
286,44
287,39
288,52
289,55
290,46
291,40
292,38
293,44
294,49
295,42
296,41
297,40
298,44
299,39
300,33
301,40
302,40
303,35
304,35
305,33
306,31
307,38
308,37
309,35
310,36
311,30
312,33
313,30
314,31
315,25
316,24
317,25
318,30
319,28
320,39
321,36
322,28
323,25
324,36
325,43
326,28
327,26
328,25
329,23
330,32
331,39
332,31
333,29
334,26
335,24
336,33
337,34
338,38
339,31
340,28
341,26
342,33
343,45
344,37
345,34
346,43
347,34
348,32
349,32
350,38
351,38
352,38
353,35
354,38
355,37
356,35
357,32
358,32
359,32
360,57
361,39
362,37
363,38
364,35
365,36
366,37
367,33
368,27
369,27
370,29
371,38
372,43
373,42
374,40
375,42
376,33
377,38
378,38
379,34
380,43
381,33
382,30
383,32
384,32
385,36
386,31
387,32
388,31
389,36
390,42
391,46
392,29
393,31
394,33
395,31
396,26
397,42
398,31
399,33
400,42
401,34
402,32
403,34
404,35
405,39
406,36
407,39
408,38
409,37
410,38
411,41
412,47
413,41
414,36
415,31
416,36
417,44
418,39
419,43
420,50
421,49
422,58
423,56
424,54
425,45
426,41
427,36
428,35
429,38
430,32
431,29
432,32
433,36
434,42
435,44
436,41
437,44
438,41
439,48
440,35
441,40
442,33
443,46
444,38
445,38
446,36
447,35
448,39
449,40
450,55
451,36
452,36
453,35
454,46
455,35
456,39
457,38
458,49
459,31
460,37
461,37
462,54
463,43
464,41
465,46
466,37
467,32
468,35
469,51
470,42
471,35
472,49
473,47
474,33
475,37
476,34
477,40
478,42
479,39
480,32
481,31
482,27
483,55
484,28
485,32
486,37
487,39
488,31
489,27
490,41
491,31
492,31
493,21
494,17
495,18
496,27
497,28
498,25
499,26
500,30
501,28
502,35
503,24
504,29
505,23
506,32
507,23
508,33
509,23
510,26
511,32
512,35
513,34
514,27
515,35
516,33
517,31
518,38
519,30
520,31
521,37
522,38
523,37
524,30
525,32
526,29
527,35
528,27
529,27
530,29
531,44
532,35
533,39
534,40
535,27
536,33
537,26
538,23
539,28
540,27
541,31
542,36
543,34
544,38
545,38
546,36
547,25
548,27
549,26
550,30
551,28
552,40
553,33
554,28
555,33
556,31
557,31
558,26
559,22
560,24
561,23
562,21
563,20
564,21
565,20
566,21
567,23
568,17
569,22
570,39
571,28
572,29
573,34
574,39
575,33
576,38
577,35
578,39
579,30
580,31
581,28
582,22
583,25
584,28
585,29
586,33
587,38
588,34
589,23
590,24
591,21
592,21
593,22
594,31
595,24
596,23
597,26
598,22
599,24
600,34
601,25
602,29
603,29
604,20
605,23
606,24
607,32
608,25
609,26
610,21
611,19
612,20
613,19
614,17
615,18
616,19
617,19
618,21
619,26
620,28
621,30
622,24
623,28
624,31
625,28
626,24
627,40
628,24
629,24
630,26
631,35
632,25
633,26
634,19
635,18
636,19
637,20
638,16
639,11
640,11
641,11
642,15
643,15
644,14
645,14
646,15
647,19
648,18
649,17
650,18
651,20
652,28
653,31
654,25
655,24
656,21
657,30
658,26
659,31
660,43
661,39
662,32
663,34
664,32
665,34
666,32
667,26
668,26
669,22
670,20
671,21
672,37
673,30
674,25
675,22
676,32
677,18
678,18
679,37
680,35
681,30
682,28
683,35
684,37
685,37
686,30
687,26
688,27
689,31
690,29
691,30
692,31
693,36
694,31
695,31
696,31
697,39
698,34
699,35
700,30
701,39
702,32
703,30
704,29
705,37
706,38
707,37
708,31
709,36
710,34
711,51
712,41
713,34
714,34
715,40
716,39
717,40
718,43
719,43
720,50
721,55
722,43
723,32
724,35
725,32
726,28
727,29
728,25
729,27
730,35
731,36
732,32
733,31
734,29
735,37
736,31
737,33
738,32
739,30
740,35
741,31
742,32
743,35
744,26
745,36
746,45
747,34
748,32
749,29
750,34
751,46
752,41
753,39
754,40
755,35
756,34
757,36
758,36
759,50
760,35
761,37
762,34
763,32
764,38
765,33
766,31
767,32
768,28
769,28
770,31
771,36
772,36
773,38
774,36
775,43
776,38
777,44
778,44
779,43
780,50
781,44
782,48
783,44
784,42
785,47
786,50
787,44
788,48
789,48
790,48
791,43
792,56
793,49
794,51
795,53
796,46
797,45
798,43
799,56
800,55
801,49
802,51
803,52
804,48
805,46
806,52
807,50
808,49
809,39
810,47
811,61
812,45
813,42
814,45
815,43
816,44
817,46
818,44
819,46
820,42
821,44
822,47
823,43
824,41
825,46
826,39
827,48
828,45
829,49
830,46
831,43
832,44
833,51
834,50
835,45
836,40
837,42
838,49
839,44
840,49
841,37
842,36
843,37
844,40
845,40
846,38
847,35
848,38
849,38
850,39
851,38
852,38
853,38
854,42
855,40
856,35
857,37
858,36
859,36
860,38
861,40
862,35
863,45
864,39
865,39
866,44
867,37
868,46
869,45
870,35
871,48
872,41
873,33
874,37
875,33
876,31
877,29
878,27
879,26
880,35
881,27
882,33
883,28
884,33
885,35
886,40
887,33
888,32
889,36
890,52
891,39
892,37
893,34
894,38
895,42
896,43
897,36
898,37
899,37
900,33
901,33
902,35
903,33
904,33
905,34
906,34
907,35
908,37
909,44
910,40
911,39
912,41
913,42
914,37
915,32
916,30
917,41
918,40
919,36
920,39
921,33
922,34
923,38
924,35
925,43
926,31
927,27
928,36
929,33
930,32
931,32
932,42
933,33
934,32
935,34
936,28
937,30
938,32
939,33
940,35
941,36
942,40
943,40
944,43
945,37
946,31
947,38
948,38
949,42
950,47
951,36
952,41
953,34
954,38
955,37
956,32
957,33
958,28
959,33
960,38
961,40
962,31
963,32
964,36
965,51
966,32
967,32
968,37
969,30
970,35
971,29
972,30
973,36
974,28
975,30
976,40
977,34
978,31
979,24
980,33
981,39
982,28
983,25
984,31
985,29
986,37
987,19
988,27
989,18
990,17
991,22
992,32
993,19
994,18
995,20
996,21
997,21
998,15
999,17
1000,17
1001,18
1002,20
1003,17
1004,11
1005,12
1006,17
1007,16
1008,18
1009,17
1010,26
1011,20
1012,19
1013,19
1014,20
1015,21
1016,20
1017,19
1018,21
1019,17
1020,16
1021,14
1022,19
1023,19
1024,16
1025,19
1026,21
1027,26
1028,39
1029,30
1030,26
1031,30
1032,28
1033,30
1034,26
1035,24
1036,27
1037,40
1038,22
1039,20
1040,18
1041,20
1042,19
1043,16
1044,17
1045,23
1046,25
1047,27
1048,38
1049,34
1050,27
1051,37
1052,30
1053,35
1054,33
1055,29
1056,21
1057,22
1058,32
1059,23
1060,22
1061,31
1062,21
1063,43
1064,34
1065,38
1066,32
1067,31
1068,40
1069,29
1070,25
1071,27
1072,25
1073,22
1074,18
1075,22
1076,24
1077,21
1078,16
1079,19
1080,22
1081,23
1082,30
1083,41
1084,36
1085,30
1086,26
1087,24
1088,29
1089,28
1090,43
1091,26
1092,26
1093,33
1094,26
1095,38
1096,44
1097,41
1098,33
1099,30
1100,50
1101,34
1102,30
1103,31
1104,41
1105,26
1106,31
1107,30
1108,28
1109,33
1110,34
1111,33
1112,24
1113,36
1114,31
1115,37
1116,34
1117,32
1118,49
1119,33
1120,27
1121,30
1122,23
1123,26
1124,28
1125,35
1126,26
1127,27
1128,30
1129,26
1130,39
1131,32
1132,27
1133,32
1134,27
1135,27
1136,33
1137,30
1138,34
1139,30
1140,33
1141,37
1142,44
1143,35
1144,31
1145,37
1146,28
1147,33
1148,32
1149,27
1150,27
1151,40
1152,35
1153,30
1154,33
1155,42
1156,34
1157,26
1158,29
1159,26
1160,22
1161,37
1162,38
1163,35
1164,21
1165,21
1166,24
1167,32
1168,28
1169,26
1170,36
1171,27
1172,25
1173,34
1174,39
1175,31
1176,34
1177,24
1178,32
1179,24
1180,22
1181,43
1182,28
1183,25
1184,24
1185,28
1186,49
1187,19
1188,26
1189,16
1190,16
1191,15
1192,15
1193,16
1194,17
1195,18
1196,23
1197,20
1198,16
1199,14
1200,15
1201,16
1202,17
1203,21
1204,24
1205,31
1206,22
1207,23
1208,25
1209,36
1210,35
1211,27
1212,28
1213,27
1214,29
1215,26
1216,21
1217,19
1218,24
1219,23
1220,30
1221,26
1222,20
1223,19
1224,19
1225,21
1226,25
1227,27
1228,25
1229,24
1230,28
1231,32
1232,34
1233,27
1234,29
1235,27
1236,33
1237,43
1238,40
1239,40
1240,35
1241,28
1242,29
1243,34
1244,34
1245,43
1246,40
1247,37
1248,36
1249,45
1250,45
1251,37
1252,36
1253,32
1254,36
1255,37
1256,35
1257,42
1258,38
1259,43
1260,41
1261,38
1262,38
1263,39
1264,38
1265,35
1266,39
1267,45
1268,45
1269,41
1270,39
1271,44
1272,44
1273,43
1274,43
1275,44
1276,49
1277,53
1278,44
1279,43
1280,49
1281,42
1282,46
1283,57
1284,45
1285,43
1286,45
1287,42
1288,38
1289,40
1290,37
1291,34
1292,59
1293,37
1294,44
1295,42
1296,43
1297,41
1298,34
1299,28
1300,30
1301,31
1302,27
1303,42
1304,30
1305,35
1306,37
1307,37
1308,38
1309,26
1310,32
1311,31
1312,33
1313,36
1314,31
1315,32
1316,32
1317,35
1318,37
1319,37
1320,37
1321,32
1322,36
1323,35
1324,38
1325,37
1326,39
1327,35
1328,39
1329,46
1330,34
1331,35
1332,34
1333,36
1334,40
1335,36
1336,35
1337,37
1338,48
1339,41
1340,42
1341,39
1342,50
1343,46
1344,49
1345,48
1346,45
1347,44
1348,50
1349,45
1350,52
1351,50
1352,53
1353,50
1354,50
1355,43
1356,53
1357,42
1358,44
1359,43
1360,46
1361,64
1362,62
1363,53
1364,55
1365,56
1366,60
1367,64
1368,59
1369,46
1370,44
1371,49
1372,49
1373,67
1374,64
1375,51
1376,63
1377,56
1378,56
1379,56
1380,53
1381,56
1382,54
1383,54
1384,57
1385,59
1386,51
1387,51
1388,51
1389,48
1390,59
1391,61
1392,50
1393,58
1394,64
1395,51
1396,54
1397,55
1398,52
1399,60
1400,63
1401,46
1402,47
1403,59
1404,56
1405,53
1406,53
1407,49
1408,49
1409,67
1410,51
1411,50
1412,50
1413,45
1414,47
1415,50
1416,49
1417,47
1418,44
1419,50
1420,53
1421,49
1422,49
1423,48
1424,43
1425,40
1426,43
1427,41
1428,41
1429,43
1430,42
1431,41
1432,46
1433,43
1434,40
1435,36
1436,36
1437,34
1438,30
1439,46
1440,39
1441,39
1442,45
1443,44
1444,36
1445,48
1446,39
1447,31
1448,32
1449,38
1450,37
1451,37
1452,35
1453,33
1454,37
1455,25
1456,31
1457,28
1458,28
1459,28
1460,33
1461,31
1462,28
1463,32
1464,34
1465,32
1466,27
1467,30
1468,28
1469,33
1470,37
1471,60
1472,37
1473,44
1474,37
1475,36
1476,38
1477,36
1478,34
1479,40
1480,35
1481,36
1482,37
1483,53
1484,53
1485,38
1486,35
1487,29
1488,36
1489,34
1490,34
1491,38
1492,45
1493,56
1494,52
1495,34
1496,37
1497,36
1498,35
1499,33
1500,36
1501,35
1502,38
1503,33
1504,34
1505,34
1506,31
1507,38
1508,34
1509,34
1510,21
1511,23
1512,28
1513,29
1514,27
1515,33
1516,38
1517,30
1518,34
1519,34
1520,39
1521,27
1522,23
1523,31
1524,29
1525,29
1526,22
1527,25
1528,30
1529,30
1530,32
1531,28
1532,39
1533,23
1534,19
1535,15
1536,19
1537,18
1538,33
1539,15
1540,32
1541,11
1542,12
1543,13
1544,14
1545,20
1546,16
1547,16
1548,13
1549,18
1550,13
1551,14
1552,26
1553,23
1554,27
1555,24
1556,26
1557,28
1558,29
1559,30
1560,43
1561,40
1562,37
1563,42
1564,40
1565,30
1566,27
1567,33
1568,40
1569,25
1570,22
1571,23
1572,33
1573,22
1574,20
1575,19
1576,27
1577,28
1578,38
1579,33
1580,34
1581,33
1582,29
1583,36
1584,32
1585,31
1586,37
1587,32
1588,29
1589,48
1590,26
1591,32
1592,33
1593,37
1594,35
1595,37
1596,32
1597,33
1598,27
1599,29
1600,31
1601,47
1602,27
1603,27
1604,39
1605,27
1606,25
1607,18
1608,31
1609,29
1610,35
1611,25
1612,27
1613,32
1614,38
1615,36
1616,40
1617,34
1618,31
1619,22
1620,25
1621,31
1622,39
1623,33
1624,32
1625,35
1626,41
1627,44
1628,31
1629,34
1630,30
1631,28
1632,25
1633,41
1634,31
1635,35
1636,37
1637,29
1638,36
1639,33
1640,40
1641,38
1642,50
1643,34
1644,27
1645,28
1646,31
1647,38
1648,37
1649,39
1650,31
1651,34
1652,26
1653,31
1654,30
1655,40
1656,37
1657,34
1658,28
1659,32
1660,26
1661,31
1662,39
1663,27
1664,29
1665,39
1666,27
1667,31
1668,35
1669,27
1670,22
1671,22
1672,19
1673,18
1674,20
1675,20
1676,20
1677,21
1678,22
1679,24
1680,20
1681,23
1682,27
1683,35
1684,46
1685,30
1686,25
1687,27
1688,41
1689,28
1690,31
1691,31
1692,26
1693,28
1694,27
1695,27
1696,40
1697,35
1698,49
1699,28
1700,25
1701,28
1702,18
1703,14
1704,24
1705,23
1706,26
1707,21
1708,27
1709,23
1710,31
1711,19
1712,17
1713,26
1714,12
1715,9
1716,12
1717,17
1718,27
1719,37
1720,27
1721,24
1722,30
1723,25
1724,31
1725,31
1726,28
1727,34
1728,26
1729,27
1730,25
1731,22
1732,27
1733,36
1734,27
1735,23
1736,18
1737,31
1738,22
1739,16
1740,19
1741,18
1742,19
1743,25
1744,25
1745,27
1746,32
1747,24
1748,35
1749,25
1750,37
1751,33
1752,28
1753,35
1754,34
1755,45
1756,34
1757,39
1758,31
1759,38
1760,38
1761,33
1762,40
1763,27
1764,30
1765,26
1766,29
1767,32
1768,38
1769,31
1770,23
1771,33
1772,25
1773,22
1774,24
1775,19
1776,20
1777,13
1778,9
1779,16
1780,19
1781,23
1782,28
1783,28
1784,27
1785,30
1786,30
1787,32
1788,38
1789,32
1790,26
1791,33
1792,38
1793,26
1794,29
1795,27
1796,36
1797,34
1798,26
1799,25
1800,31
1801,30
1802,34
1803,30
1804,34
1805,47
1806,37
1807,32
1808,31
1809,30
1810,36
1811,36
1812,38
1813,43
1814,37
1815,37
1816,38
1817,48
1818,46
1819,43
1820,44
1821,47
1822,34
1823,36
1824,37
1825,44
1826,46
1827,44
1828,52
1829,40
1830,41
1831,33
1832,48
1833,26
1834,25
1835,26
1836,40
1837,47
1838,44
1839,39
1840,40
1841,46
1842,47
1843,37
1844,38
1845,44
1846,36
1847,34
1848,38
1849,29
1850,29
1851,36
1852,44
1853,35
1854,32
1855,23
1856,26
1857,28
1858,28
1859,32
1860,37
1861,30
1862,37
1863,32
1864,32
1865,30
1866,38
1867,36
1868,28
1869,44
1870,31
1871,36
1872,35
1873,43
1874,47
1875,31
1876,32
1877,32
1878,28
1879,27
1880,35
1881,35
1882,26
1883,20
1884,19
1885,19
1886,21
1887,20
1888,24
1889,17
1890,16
1891,19
1892,18
1893,11
1894,12
1895,13
1896,15
1897,13
1898,10
1899,9
1900,15
1901,18
1902,25
1903,30
1904,46
1905,32
1906,35
1907,30
1908,27
1909,28
1910,29
1911,26
1912,32
1913,44
1914,31
1915,41
1916,30
1917,26
1918,28
1919,27
1920,28
1921,31
1922,25
1923,36
1924,33
1925,29
1926,34
1927,28
1928,23
1929,18
1930,22
1931,21
1932,18
1933,20
1934,20
1935,30
1936,36
1937,44
1938,42
1939,40
1940,33
1941,33
1942,35
1943,40
1944,35
1945,32
1946,44
1947,43
1948,38
1949,36
1950,26
1951,33
1952,36
1953,37
1954,30
1955,40
1956,41
1957,33
1958,31
1959,44
1960,33
1961,31
1962,33
1963,33
1964,29
1965,44
1966,26
1967,26
1968,43
1969,30
1970,39
1971,38
1972,36
1973,27
1974,57
1975,36
1976,28
1977,26
1978,32
1979,40
1980,43
1981,35
1982,32
1983,41
1984,37
1985,32
1986,35
1987,28
1988,40
1989,26
1990,32
1991,39
1992,32
1993,28
1994,36
1995,26
1996,35
1997,35
1998,33
1999,36
