idx,rssi
0,20.0
1,24.0
2,24.0
3,24.0
4,22.0
5,23.0
6,25.0
7,26.0
8,22.0
9,23.0
10,25.0
11,22.0
12,26.0
13,24.0
14,27.0
15,23.0
16,27.0
17,24.0
18,24.0
19,27.0
20,25.0
21,25.0
22,24.0
23,27.0
24,23.0
25,26.0
26,22.0
27,27.0
28,21.0
29,26.0
30,30.0
31,23.0
32,25.0
33,25.0
34,26.0
35,26.0
36,26.0
37,26.0
38,28.0
39,24.0
40,23.0
41,28.0
42,26.0
43,20.0
44,28.0
45,30.0
46,26.0
47,25.0
48,25.0
49,20.0
50,29.0
51,24.0
52,32.0
53,28.0
54,28.0
55,29.0
56,27.0
57,29.0
58,30.0
59,27.0
60,30.0
61,29.0
62,24.0
63,26.0
64,30.0
65,28.0
66,26.0
67,28.0
68,27.0
69,25.0
70,31.0
71,27.0
72,26.0
73,28.0
74,33.0
75,29.0
76,25.0
77,26.0
78,30.0
79,30.0
80,29.0
81,32.0
82,28.0
83,33.0
84,30.0
85,29.0
86,28.0
87,31.0
88,32.0
89,30.0
90,30.0
91,30.0
92,30.0
93,33.0
94,29.0
95,31.0
96,30.0
97,34.0
98,38.0
99,32.0
100,33.0
101,30.0
102,32.0
103,31.0
104,34.0
105,34.0
106,30.0
107,28.0
108,32.0
109,29.0
110,30.0
111,29.0
112,33.0
113,34.0
114,30.0
115,29.0
116,31.0
117,29.0
118,31.0
119,32.0
120,37.0
121,35.0
122,33.0
123,34.0
124,34.0
125,32.0
126,35.0
127,34.0
128,32.0
129,33.0
130,35.0
131,34.0
132,32.0
133,34.0
134,36.0
135,32.0
136,40.0
137,40.0
138,34.0
139,34.0
140,35.0
141,35.0
142,37.0
143,32.0
144,34.0
145,39.0
146,38.0
147,31.0
148,34.0
149,36.0
150,36.0
151,31.0
152,38.0
153,35.0
154,36.0
155,38.0
156,36.0
157,38.0
158,38.0
159,34.0
160,39.0
161,36.0
162,35.0
163,34.0
164,35.0
165,38.0
166,38.0
167,40.0
168,36.0
169,39.0
170,36.0
171,37.0
172,35.0
173,41.0
174,35.0
175,33.0
176,38.0
177,41.0
178,40.0
179,39.0
180,39.0
181,38.0
182,35.0
183,40.0
184,36.0
185,39.0
186,36.0
187,37.0
188,35.0
189,35.0
190,34.0
191,35.0
192,33.0
193,40.0
194,36.0
195,36.0
196,39.0
197,39.0
198,39.0
199,40.0
200,41.0
201,40.0
202,39.0
203,39.0
204,38.0
205,40.0
206,40.0
207,42.0
208,38.0
209,42.0
210,38.0
211,42.0
212,42.0
213,44.0
214,36.0
215,42.0
216,43.0
217,39.0
218,40.0
219,41.0
220,39.0
221,43.0
222,38.0
223,44.0
224,44.0
225,42.0
226,41.0
227,37.0
228,42.0
229,35.0
230,45.0
231,40.0
232,46.0
233,45.0
234,41.0
235,46.0
236,42.0
237,44.0
238,45.0
239,45.0
240,41.0
241,37.0
242,45.0
243,44.0
244,43.0
245,41.0
246,45.0
247,43.0
248,42.0
249,42.0
250,43.0
251,42.0
252,42.0
253,43.0
254,45.0
255,42.0
256,44.0
257,43.0
258,41.0
259,42.0
260,44.0
261,43.0
262,46.0
263,45.0
264,45.0
265,45.0
266,45.0
267,44.0
268,45.0
269,42.0
270,43.0
271,43.0
272,46.0
273,49.0
274,39.0
275,47.0
276,44.0
277,48.0
278,44.0
279,43.0
280,43.0
281,44.0
282,45.0
283,46.0
284,48.0
285,42.0
286,40.0
287,43.0
288,47.0
289,46.0
290,46.0
291,44.0
292,46.0
293,47.0
294,46.0
295,44.0
296,46.0
297,48.0
298,44.0
299,49.0
300,46.0
301,47.0
302,48.0
303,45.0
304,43.0
305,46.0
306,47.0
307,39.0
308,45.0
309,50.0
310,46.0
311,50.0
312,45.0
313,50.0
314,46.0
315,47.0
316,41.0
317,45.0
318,47.0
319,45.0
320,47.0
321,47.0
322,47.0
323,48.0
324,47.0
325,44.0
326,48.0
327,47.0
328,47.0
329,46.0
330,52.0
331,44.0
332,45.0
333,47.0
334,47.0
335,49.0
336,45.0
337,48.0
338,47.0
339,47.0
340,50.0
341,47.0
342,47.0
343,51.0
344,47.0
345,49.0
346,46.0
347,49.0
348,55.0
349,48.0
350,46.0
351,46.0
352,51.0
