idx,rssi
0,21.0
1,21.0
2,21.0
3,27.0
4,24.0
5,22.0
6,25.0
7,22.0
8,22.0
9,23.0
10,22.0
11,25.0
12,27.0
13,26.0
14,23.0
15,30.0
16,25.0
17,26.0
18,23.0
19,26.0
20,26.0
21,25.0
22,25.0
23,26.0
24,17.0
25,25.0
26,26.0
27,21.0
28,28.0
29,24.0
30,25.0
31,28.0
32,28.0
33,30.0
34,24.0
35,31.0
36,29.0
37,28.0
38,30.0
39,26.0
40,24.0
41,25.0
42,24.0
43,27.0
44,30.0
45,27.0
46,32.0
47,28.0
48,25.0
49,27.0
50,31.0
51,29.0
52,28.0
53,29.0
54,31.0
55,25.0
56,27.0
57,26.0
58,28.0
59,26.0
60,29.0
61,29.0
62,30.0
63,29.0
64,31.0
65,30.0
66,27.0
67,29.0
68,32.0
69,29.0
70,29.0
71,32.0
72,24.0
73,31.0
74,32.0
75,33.0
76,31.0
77,29.0
78,33.0
79,31.0
80,34.0
81,31.0
82,31.0
83,30.0
84,29.0
85,22.0
86,29.0
87,34.0
88,29.0
89,29.0
90,34.0
91,29.0
92,30.0
93,28.0
94,30.0
95,31.0
96,33.0
97,33.0
98,26.0
99,32.0
100,30.0
101,32.0
102,32.0
103,30.0
104,30.0
105,31.0
106,34.0
107,32.0
108,34.0
109,29.0
110,35.0
111,35.0
112,31.0
113,34.0
114,31.0
115,32.0
116,31.0
117,33.0
118,32.0
119,33.0
120,34.0
121,32.0
122,30.0
123,34.0
124,31.0
125,32.0
126,32.0
127,30.0
128,37.0
129,33.0
130,33.0
131,30.0
132,32.0
133,31.0
134,31.0
135,31.0
136,30.0
137,34.0
138,31.0
139,38.0
140,33.0
141,35.0
142,34.0
143,36.0
144,32.0
145,31.0
146,34.0
147,32.0
148,36.0
149,27.0
150,35.0
151,34.0
152,32.0
153,39.0
154,31.0
155,33.0
156,31.0
157,31.0
158,31.0
159,35.0
160,33.0
161,35.0
162,35.0
163,32.0
164,40.0
165,33.0
166,35.0
167,35.0
168,37.0
169,35.0
170,31.0
171,31.0
172,36.0
173,33.0
174,42.0
175,39.0
176,38.0
177,35.0
178,42.0
179,37.0
180,38.0
181,38.0
182,38.0
183,36.0
184,39.0
185,37.0
186,35.0
187,41.0
188,41.0
189,42.0
190,38.0
191,36.0
192,40.0
193,39.0
194,38.0
195,44.0
196,39.0
197,43.0
198,40.0
199,40.0
200,42.0
201,36.0
202,35.0
203,38.0
204,43.0
205,37.0
206,39.0
207,42.0
208,41.0
209,38.0
210,41.0
211,35.0
212,40.0
213,41.0
214,40.0
215,37.0
216,42.0
217,44.0
218,38.0
219,42.0
220,44.0
221,41.0
222,38.0
223,40.0
224,39.0
225,42.0
226,41.0
227,46.0
228,44.0
229,44.0
230,42.0
231,44.0
232,39.0
233,46.0
234,41.0
235,42.0
236,38.0
237,39.0
238,41.0
239,44.0
240,44.0
241,46.0
242,43.0
243,40.0
244,45.0
245,42.0
246,43.0
247,42.0
248,44.0
249,41.0
250,43.0
251,39.0
252,44.0
253,42.0
254,43.0
255,47.0
256,45.0
257,43.0
258,44.0
259,45.0
260,45.0
261,43.0
262,43.0
263,44.0
264,38.0
265,39.0
266,42.0
267,45.0
268,45.0
269,50.0
270,44.0
271,47.0
272,44.0
273,46.0
274,45.0
275,45.0
276,46.0
277,45.0
278,45.0
279,42.0
280,43.0
281,43.0
282,43.0
283,49.0
284,43.0
285,46.0
286,44.0
287,46.0
288,46.0
289,44.0
290,43.0
291,41.0
292,44.0
293,43.0
294,46.0
295,47.0
296,45.0
297,46.0
298,46.0
299,45.0
300,48.0
301,40.0
302,44.0
303,45.0
304,46.0
305,46.0
306,45.0
307,50.0
308,46.0
309,42.0
310,42.0
311,47.0
312,45.0
313,46.0
314,49.0
315,43.0
316,47.0
317,46.0
318,47.0
319,45.0
320,49.0
321,52.0
322,47.0
323,45.0
324,56.0
325,48.0
326,42.0
327,46.0
328,46.0
329,45.0
330,44.0
331,46.0
332,50.0
333,47.0
334,47.0
335,46.0
336,46.0
337,47.0
338,51.0
339,48.0
340,46.0
341,49.0
342,48.0
343,49.0
344,46.0
345,48.0
346,51.0
347,48.0
348,47.0
349,52.0
350,51.0
351,50.0
352,47.0
353,47.0
354,47.0
355,45.0
356,51.0
357,48.0
358,46.0
359,44.0
360,50.0
361,47.0
362,49.0
363,45.0
364,50.0
365,50.0
366,49.0
367,45.0
368,49.0
369,49.0
370,50.0
371,50.0
372,48.0
373,47.0
374,47.0
375,47.0
376,46.0
377,51.0
378,49.0
379,48.0
380,46.0
381,50.0
382,49.0
383,52.0
384,47.0
385,48.0
386,47.0
387,49.0
388,56.0
389,49.0
390,51.0
391,47.0
392,52.0
393,49.0
394,51.0
395,51.0
396,47.0
397,51.0
398,54.0
399,51.0
400,52.0
401,49.0
402,53.0
403,50.0
404,51.0
405,53.0
406,55.0
407,47.0
408,49.0
409,48.0
410,52.0
411,49.0
412,54.0
413,48.0
414,44.0
415,52.0
416,51.0
417,48.0
418,56.0
419,49.0
420,41.0
421,50.0
422,49.0
423,53.0
424,58.0
425,50.0
426,50.0
427,47.0
428,51.0
429,52.0
430,53.0
431,54.0
432,52.0
433,47.0
434,48.0
435,51.0
436,50.0
437,47.0
438,49.0
439,50.0
440,54.0
441,53.0
442,49.0
443,51.0
444,49.0
445,50.0
446,51.0
447,50.0
448,47.0
449,56.0
450,54.0
451,54.0
452,48.0
453,52.0
454,50.0
455,50.0
456,51.0
457,52.0
458,55.0
459,52.0
460,53.0
461,51.0
462,54.0
463,52.0
464,57.0
465,47.0
466,53.0
467,48.0
468,59.0
469,53.0
470,58.0
471,54.0
472,54.0
473,55.0
474,53.0
475,52.0
476,54.0
477,58.0
478,52.0
479,51.0
480,57.0
481,58.0
482,53.0
483,52.0
484,57.0
485,53.0
486,59.0
487,55.0
488,57.0
489,54.0
490,53.0
491,54.0
492,53.0
493,51.0
494,55.0
495,53.0
496,52.0
497,54.0
498,54.0
499,54.0
500,57.0
501,53.0
